,client_id,mes,tpv,margem_tpv,data_de_desembolso
7151,16d0006,2018-10-31,5978.12,97.03,2019-09-23
7155,16d0006,2019-02-28,6927.03,109.4,2019-09-23
7173,16da593,2019-08-31,2990.19,29.27,2019-09-19
7172,16da593,2019-07-31,1816.56,24.16,2019-09-19
7171,16da593,2019-06-30,2138.46,33.65,2019-09-19
7170,16da593,2019-05-31,3173.76,56.21,2019-09-19
7169,16da593,2019-04-30,2723.97,42.8,2019-09-19
7168,16da593,2019-03-31,3090.24,44.25,2019-09-19
7166,16da593,2019-01-31,2281.14,33.02,2019-09-19
7165,16da593,2018-12-31,3229.88,49.5,2019-09-19
7164,16da593,2018-11-30,3464.34,52.54,2019-09-19
7163,16da593,2018-10-31,3330.36,51.0,2019-09-19
7162,16da593,2018-09-30,1130.04,10.64,2019-09-19
7167,16da593,2019-02-28,1964.46,29.09,2019-09-19
7181,16da7c2,2019-04-30,14519.51,224.08,2019-09-11
7184,16da7c2,2019-07-31,16245.28,252.06,2019-09-11
7185,16da7c2,2019-08-31,15019.47,232.64,2019-09-11
7183,16da7c2,2019-06-30,13881.55,213.95,2019-09-11
7182,16da7c2,2019-05-31,14944.38,231.46,2019-09-11
7180,16da7c2,2019-03-31,15748.0,245.2,2019-09-11
7175,16da7c2,2018-10-31,15217.91,236.57,2019-09-11
7178,16da7c2,2019-01-31,13123.08,204.23,2019-09-11
7177,16da7c2,2018-12-31,10513.43,165.51,2019-09-11
7176,16da7c2,2018-11-30,4925.94,77.86,2019-09-11
7174,16da7c2,2018-09-30,16416.42,213.68,2019-09-11
7179,16da7c2,2019-02-28,14399.41,228.09,2019-09-11
7186,16e8bf9,2019-04-30,758.64,3.32,2019-10-31
7187,16e8bf9,2019-05-31,14782.17,181.18,2019-10-31
7188,16e8bf9,2019-06-30,17333.88,120.22,2019-10-31
7189,16e8bf9,2019-07-31,9535.2,70.93,2019-10-31
7190,16e8bf9,2019-08-31,14153.16,73.4,2019-10-31
7191,16e8bf9,2019-09-30,16575.24,80.6,2019-10-31
7196,16eb11b,2019-08-31,10628.88,104.22,2019-10-28
7197,16eb11b,2019-09-30,12919.27,116.84,2019-10-28
7195,16eb11b,2019-07-31,11694.8,143.38,2019-10-28
7192,16eb11b,2019-04-30,6150.2,78.22,2019-10-28
7193,16eb11b,2019-05-31,13177.46,161.41,2019-10-28
7194,16eb11b,2019-06-30,13651.01,151.54,2019-10-28
7198,16f1a2c,2019-03-31,698.51,9.18,2019-10-17
7199,16f1a2c,2019-04-30,9450.39,103.18,2019-10-17
7200,16f1a2c,2019-05-31,8993.23,99.95,2019-10-17
7201,16f1a2c,2019-06-30,8264.35,90.56,2019-10-17
7202,16f1a2c,2019-07-31,9311.96,98.71,2019-10-17
7203,16f1a2c,2019-08-31,11319.34,130.36,2019-10-17
7204,16f1a2c,2019-09-30,7829.63,84.8,2019-10-17
7214,16f9e5a,2019-08-31,1522.5,24.44,2019-09-16
7212,16f9e5a,2019-06-30,1625.16,35.0,2019-09-16
7211,16f9e5a,2019-05-31,1505.1,26.57,2019-09-16
7210,16f9e5a,2019-04-30,2679.6,39.41,2019-09-16
7213,16f9e5a,2019-07-31,2409.9,37.79,2019-09-16
7208,16f9e5a,2019-02-28,7395.0,197.17,2019-09-16
7207,16f9e5a,2019-01-31,4439.61,103.52,2019-09-16
7206,16f9e5a,2018-12-31,2052.33,35.36,2019-09-16
7205,16f9e5a,2018-11-30,178.35,3.05,2019-09-16
7209,16f9e5a,2019-03-31,2888.4,66.56,2019-09-16
7226,170a79b,2019-09-30,30040.95,404.36,2019-10-11
7225,170a79b,2019-08-31,46866.5,732.2,2019-10-11
7224,170a79b,2019-07-31,69722.55,997.51,2019-10-11
7223,170a79b,2019-06-30,39786.28,750.9,2019-10-11
7222,170a79b,2019-05-31,30382.21,472.98,2019-10-11
7221,170a79b,2019-04-30,36794.27,746.56,2019-10-11
7220,170a79b,2019-03-31,31584.92,663.02,2019-10-11
7218,170a79b,2019-01-31,24207.14,466.55,2019-10-11
7217,170a79b,2018-12-31,19596.91,350.85,2019-10-11
7216,170a79b,2018-11-30,24939.24,487.36,2019-10-11
7215,170a79b,2018-10-31,27436.63,513.96,2019-10-11
7219,170a79b,2019-02-28,21999.85,377.25,2019-10-11
7234,171a301,2019-04-30,30276.7,285.43,2019-09-09
7238,171a301,2019-08-31,23637.87,42.65,2019-09-09
7237,171a301,2019-07-31,41975.99,134.63,2019-09-09
7236,171a301,2019-06-30,33434.25,320.96,2019-09-09
7233,171a301,2019-03-31,33194.52,315.75,2019-09-09
7235,171a301,2019-05-31,35053.8,324.24,2019-09-09
7231,171a301,2019-01-31,26434.24,266.03,2019-09-09
7227,171a301,2018-09-30,30868.04,491.95,2019-09-09
7228,171a301,2018-10-31,3695.93,64.53,2019-09-09
7232,171a301,2019-02-28,27709.48,279.67,2019-09-09
7230,171a301,2018-12-31,31882.38,318.95,2019-09-09
7229,171a301,2018-11-30,3740.74,40.9,2019-09-09
7239,171aced,2018-12-31,4852.88,54.55,2019-10-30
7240,171aced,2019-01-31,6792.09,77.85,2019-10-30
7241,171aced,2019-02-28,4617.09,55.04,2019-10-30
7243,171aced,2019-04-30,5927.54,70.8,2019-10-30
7244,171aced,2019-05-31,5634.99,69.06,2019-10-30
7245,171aced,2019-06-30,6748.59,72.06,2019-10-30
7246,171aced,2019-07-31,6938.25,57.82,2019-10-30
7247,171aced,2019-08-31,6278.79,53.91,2019-10-30
7248,171aced,2019-09-30,6505.86,75.01,2019-10-30
7242,171aced,2019-03-31,5454.9,61.58,2019-10-30
7257,1721a7f,2019-08-31,5986.3,75.52,2019-09-26
7254,1721a7f,2019-05-31,9762.27,104.45,2019-09-26
7256,1721a7f,2019-07-31,13826.3,144.71,2019-09-26
7255,1721a7f,2019-06-30,16447.52,183.76,2019-09-26
7253,1721a7f,2019-04-30,5009.02,51.24,2019-09-26
7251,1721a7f,2019-02-28,3717.87,45.72,2019-09-26
7250,1721a7f,2019-01-31,2811.97,36.71,2019-09-26
7249,1721a7f,2018-12-31,7151.4,86.0,2019-09-26
7252,1721a7f,2019-03-31,4196.97,49.89,2019-09-26
7269,1725216,2019-08-31,13285.73,147.06,2019-09-23
7268,1725216,2019-07-31,11455.29,147.1,2019-09-23
7267,1725216,2019-06-30,11709.33,160.38,2019-09-23
7266,1725216,2019-05-31,13367.38,145.42,2019-09-23
7265,1725216,2019-04-30,17784.1,263.17,2019-09-23
7264,1725216,2019-03-31,8010.39,135.38,2019-09-23
7262,1725216,2019-01-31,12136.41,195.58,2019-09-23
7261,1725216,2018-12-31,9735.74,166.15,2019-09-23
7260,1725216,2018-11-30,11113.38,195.9,2019-09-23
7259,1725216,2018-10-31,13404.45,241.36,2019-09-23
7258,1725216,2018-09-30,10177.26,169.34,2019-09-23
7263,1725216,2019-02-28,16182.87,324.07,2019-09-23
7277,1727da2,2019-04-30,16102.74,231.28,2019-09-20
7280,1727da2,2019-07-31,17410.44,263.25,2019-09-20
7279,1727da2,2019-06-30,10747.11,158.66,2019-09-20
7278,1727da2,2019-05-31,11099.46,148.52,2019-09-20
7276,1727da2,2019-03-31,13146.14,190.47,2019-09-20
7281,1727da2,2019-08-31,22263.13,310.83,2019-09-20
7274,1727da2,2019-01-31,11750.66,182.97,2019-09-20
7270,1727da2,2018-09-30,426.3,7.81,2019-09-20
7271,1727da2,2018-10-31,10678.38,165.72,2019-09-20
7275,1727da2,2019-02-28,17182.06,286.32,2019-09-20
7273,1727da2,2018-12-31,12194.79,189.88,2019-09-20
7272,1727da2,2018-11-30,8561.67,140.75,2019-09-20
7282,172c582,2019-02-28,6657.89,62.75,2019-10-25
7288,172c582,2019-08-31,22807.39,239.56,2019-10-25
7287,172c582,2019-07-31,31719.18,346.65,2019-10-25
7286,172c582,2019-06-30,25448.76,265.7,2019-10-25
7289,172c582,2019-09-30,21010.23,217.88,2019-10-25
7284,172c582,2019-04-30,24884.13,275.84,2019-10-25
7283,172c582,2019-03-31,18456.71,166.74,2019-10-25
7285,172c582,2019-05-31,25769.5,280.24,2019-10-25
7291,172d4f4,2019-05-31,21765.29,313.55,2019-10-30
7292,172d4f4,2019-06-30,24085.16,365.59,2019-10-30
7293,172d4f4,2019-07-31,22319.07,316.62,2019-10-30
7294,172d4f4,2019-08-31,15083.61,215.87,2019-10-30
7295,172d4f4,2019-09-30,16128.66,223.0,2019-10-30
7290,172d4f4,2019-04-30,16932.44,225.66,2019-10-30
7301,173ac5e,2019-06-30,3284.64,17.85,2019-10-28
7304,173ac5e,2019-09-30,2693.87,11.32,2019-10-28
7303,173ac5e,2019-08-31,3395.18,23.91,2019-10-28
7302,173ac5e,2019-07-31,3325.49,17.03,2019-10-28
7300,173ac5e,2019-05-31,2571.2,13.61,2019-10-28
7298,173ac5e,2019-03-31,2154.65,12.81,2019-10-28
7297,173ac5e,2019-02-28,2751.03,16.98,2019-10-28
7296,173ac5e,2019-01-31,1356.04,10.3,2019-10-28
7299,173ac5e,2019-04-30,2855.64,15.03,2019-10-28
7316,173df41,2019-09-30,25455.38,312.88,2019-10-17
7315,173df41,2019-08-31,13832.7,171.91,2019-10-17
7314,173df41,2019-07-31,29512.58,404.29,2019-10-17
7313,173df41,2019-06-30,30066.16,412.24,2019-10-17
7312,173df41,2019-05-31,36002.55,485.64,2019-10-17
7311,173df41,2019-04-30,23840.09,317.68,2019-10-17
7309,173df41,2019-02-28,9608.63,130.18,2019-10-17
7308,173df41,2019-01-31,8701.22,115.22,2019-10-17
7307,173df41,2018-12-31,39051.43,517.95,2019-10-17
7306,173df41,2018-11-30,33272.37,461.75,2019-10-17
7305,173df41,2018-10-31,22578.28,301.31,2019-10-17
7310,173df41,2019-03-31,16276.0,217.31,2019-10-17
7326,174beee,2019-09-30,5407.47,60.83,2019-10-07
7325,174beee,2019-08-31,16557.09,187.71,2019-10-07
7324,174beee,2019-07-31,16925.61,195.56,2019-10-07
7323,174beee,2019-06-30,18538.73,209.97,2019-10-07
7322,174beee,2019-05-31,16546.01,186.24,2019-10-07
7321,174beee,2019-04-30,14094.04,158.81,2019-10-07
7319,174beee,2019-02-28,14229.89,157.25,2019-10-07
7318,174beee,2019-01-31,12589.86,146.67,2019-10-07
7317,174beee,2018-12-31,13245.88,147.03,2019-10-07
7320,174beee,2019-03-31,15365.79,175.99,2019-10-07
7337,174f912,2019-08-31,55137.99,272.69,2019-09-23
7336,174f912,2019-07-31,47370.63,231.88,2019-09-23
7335,174f912,2019-06-30,32882.52,163.91,2019-09-23
7334,174f912,2019-05-31,39459.72,196.42,2019-09-23
7333,174f912,2019-04-30,43428.66,217.56,2019-09-23
7332,174f912,2019-03-31,53647.68,279.27,2019-09-23
7330,174f912,2019-01-31,59311.38,306.83,2019-09-23
7329,174f912,2018-12-31,44730.62,220.41,2019-09-23
7328,174f912,2018-11-30,45487.08,248.72,2019-09-23
7327,174f912,2018-10-31,28968.39,152.27,2019-09-23
7331,174f912,2019-02-28,42449.48,215.75,2019-09-23
7349,1751c56,2019-08-31,3714.9,68.76,2019-09-26
7348,1751c56,2019-07-31,5106.9,93.74,2019-09-26
7347,1751c56,2019-06-30,7255.8,127.94,2019-09-26
7346,1751c56,2019-05-31,3915.0,76.6,2019-09-26
7344,1751c56,2019-03-31,978.21,18.36,2019-09-26
7345,1751c56,2019-04-30,5024.25,87.45,2019-09-26
7342,1751c56,2019-01-31,1155.19,21.8,2019-09-26
7341,1751c56,2018-12-31,1900.8,34.77,2019-09-26
7340,1751c56,2018-11-30,3260.19,62.38,2019-09-26
7339,1751c56,2018-10-31,2237.23,45.83,2019-09-26
7338,1751c56,2018-09-30,1865.2,28.39,2019-09-26
7343,1751c56,2019-02-28,5050.9,79.0,2019-09-26
7361,1754ef1,2019-09-30,17519.8,208.32,2019-10-31
7360,1754ef1,2019-08-31,19419.64,248.3,2019-10-31
7359,1754ef1,2019-07-31,13844.61,184.76,2019-10-31
7358,1754ef1,2019-06-30,11514.58,161.51,2019-10-31
7357,1754ef1,2019-05-31,14522.08,199.19,2019-10-31
7356,1754ef1,2019-04-30,19265.67,256.89,2019-10-31
7355,1754ef1,2019-03-31,23511.32,322.47,2019-10-31
7353,1754ef1,2019-01-31,24763.1,337.55,2019-10-31
7352,1754ef1,2018-12-31,29043.98,392.21,2019-10-31
7351,1754ef1,2018-11-30,17589.4,247.97,2019-10-31
7350,1754ef1,2018-10-31,18477.1,253.46,2019-10-31
7354,1754ef1,2019-02-28,23193.76,313.65,2019-10-31
7373,175de9e,2019-09-30,57656.84,618.35,2019-10-01
7372,175de9e,2019-08-31,60843.92,644.65,2019-10-01
7371,175de9e,2019-07-31,56997.9,588.61,2019-10-01
7370,175de9e,2019-06-30,60380.26,621.24,2019-10-01
7369,175de9e,2019-05-31,51469.68,470.31,2019-10-01
7368,175de9e,2019-04-30,57641.59,701.1,2019-10-01
7366,175de9e,2019-02-28,55905.13,644.47,2019-10-01
7365,175de9e,2019-01-31,89856.44,1045.5,2019-10-01
7364,175de9e,2018-12-31,67036.34,810.69,2019-10-01
7363,175de9e,2018-11-30,61411.61,752.11,2019-10-01
7362,175de9e,2018-10-31,55289.92,717.91,2019-10-01
7367,175de9e,2019-03-31,71362.84,866.81,2019-10-01
7385,176744f,2019-09-30,11885.0,179.43,2019-10-31
7384,176744f,2019-08-31,11836.07,170.95,2019-10-31
7383,176744f,2019-07-31,9655.36,136.44,2019-10-31
7382,176744f,2019-06-30,10712.53,152.59,2019-10-31
7381,176744f,2019-05-31,9710.88,140.4,2019-10-31
7380,176744f,2019-04-30,12070.87,172.21,2019-10-31
7379,176744f,2019-03-31,9230.22,138.1,2019-10-31
7378,176744f,2019-02-28,6239.07,90.05,2019-10-31
7377,176744f,2019-01-31,11732.9,167.7,2019-10-31
7376,176744f,2018-12-31,15541.71,220.55,2019-10-31
7375,176744f,2018-11-30,8503.68,127.98,2019-10-31
7374,176744f,2018-10-31,6495.64,91.46,2019-10-31
7396,1772d9c,2019-09-30,3520.39,45.08,2019-10-16
7395,1772d9c,2019-08-31,5526.01,75.48,2019-10-16
7394,1772d9c,2019-07-31,4742.16,65.84,2019-10-16
7393,1772d9c,2019-06-30,4507.5,66.91,2019-10-16
7392,1772d9c,2019-05-31,2373.69,33.39,2019-10-16
7389,1772d9c,2019-02-28,7645.78,81.77,2019-10-16
7390,1772d9c,2019-03-31,4989.53,71.74,2019-10-16
7388,1772d9c,2019-01-31,5661.95,83.62,2019-10-16
7387,1772d9c,2018-12-31,13367.68,193.11,2019-10-16
7386,1772d9c,2018-11-30,3234.64,49.64,2019-10-16
7391,1772d9c,2019-04-30,6431.43,83.25,2019-10-16
7406,177cfa8,2019-09-30,78.3,0.63,2019-10-16
7405,177cfa8,2019-08-31,3556.56,42.91,2019-10-16
7404,177cfa8,2019-07-31,7234.05,80.68,2019-10-16
7403,177cfa8,2019-06-30,5700.24,55.95,2019-10-16
7402,177cfa8,2019-05-31,5206.08,60.43,2019-10-16
7401,177cfa8,2019-04-30,5396.61,62.82,2019-10-16
7399,177cfa8,2019-02-28,6564.15,88.62,2019-10-16
7398,177cfa8,2019-01-31,1319.79,13.83,2019-10-16
7397,177cfa8,2018-12-31,4860.69,64.63,2019-10-16
7400,177cfa8,2019-03-31,8206.71,88.82,2019-10-16
7413,17840a5,2019-07-31,34015.38,427.57,2019-10-08
7415,17840a5,2019-09-30,31518.33,371.41,2019-10-08
7414,17840a5,2019-08-31,28258.28,338.6,2019-10-08
7411,17840a5,2019-05-31,22919.84,285.55,2019-10-08
7412,17840a5,2019-06-30,31097.75,391.05,2019-10-08
7410,17840a5,2019-04-30,15821.73,187.75,2019-10-08
7409,17840a5,2019-03-31,14530.18,165.0,2019-10-08
7408,17840a5,2019-02-28,15293.88,176.68,2019-10-08
7407,17840a5,2019-01-31,4955.02,57.24,2019-10-08
7427,178d2d0,2019-09-30,1467.69,16.88,2019-10-07
7426,178d2d0,2019-08-31,2590.16,31.36,2019-10-07
7425,178d2d0,2019-07-31,2396.59,31.77,2019-10-07
7424,178d2d0,2019-06-30,2858.65,34.71,2019-10-07
7423,178d2d0,2019-05-31,2477.76,32.29,2019-10-07
7422,178d2d0,2019-04-30,2495.16,30.22,2019-10-07
7420,178d2d0,2019-02-28,1993.34,24.69,2019-10-07
7419,178d2d0,2019-01-31,1839.88,22.82,2019-10-07
7418,178d2d0,2018-12-31,4207.49,47.75,2019-10-07
7417,178d2d0,2018-11-30,2516.74,31.8,2019-10-07
7416,178d2d0,2018-10-31,3195.94,39.61,2019-10-07
7421,178d2d0,2019-03-31,1469.95,16.55,2019-10-07
7435,178e533,2019-04-30,3443.84,52.36,2019-09-05
7439,178e533,2019-08-31,6776.51,99.77,2019-09-05
7438,178e533,2019-07-31,8592.49,128.67,2019-09-05
7437,178e533,2019-06-30,5799.65,86.34,2019-09-05
7436,178e533,2019-05-31,2530.28,38.11,2019-09-05
7433,178e533,2019-02-28,2195.62,31.28,2019-09-05
7431,178e533,2018-12-31,16820.15,256.06,2019-09-05
7432,178e533,2019-01-31,1704.18,25.24,2019-09-05
7430,178e533,2018-11-30,17567.58,272.7,2019-09-05
7429,178e533,2018-10-31,12065.96,194.97,2019-09-05
7428,178e533,2018-09-30,7872.34,105.28,2019-09-05
7434,178e533,2019-03-31,3269.82,51.67,2019-09-05
7449,1795b64,2019-08-31,28232.23,453.6,2019-09-02
7448,1795b64,2019-07-31,23512.16,381.54,2019-09-02
7447,1795b64,2019-06-30,28583.42,480.49,2019-09-02
7446,1795b64,2019-05-31,24800.08,399.63,2019-09-02
7445,1795b64,2019-04-30,24114.93,394.52,2019-09-02
7443,1795b64,2019-02-28,14468.87,236.95,2019-09-02
7442,1795b64,2019-01-31,16081.91,261.88,2019-09-02
7441,1795b64,2018-12-31,22422.47,354.24,2019-09-02
7440,1795b64,2018-11-30,9138.37,164.39,2019-09-02
7444,1795b64,2019-03-31,24031.66,395.41,2019-09-02
7461,17b26cf,2019-09-30,9410.46,91.08,2019-10-21
7458,17b26cf,2019-06-30,18634.76,286.55,2019-10-21
7457,17b26cf,2019-05-31,19660.96,295.5,2019-10-21
7460,17b26cf,2019-08-31,8405.29,71.35,2019-10-21
7459,17b26cf,2019-07-31,1608.46,12.96,2019-10-21
7456,17b26cf,2019-04-30,17874.63,275.38,2019-10-21
7453,17b26cf,2019-01-31,15346.1,228.21,2019-10-21
7454,17b26cf,2019-02-28,16911.22,241.63,2019-10-21
7452,17b26cf,2018-12-31,15740.2,222.65,2019-10-21
7451,17b26cf,2018-11-30,13554.73,226.75,2019-10-21
7450,17b26cf,2018-10-31,17775.84,286.17,2019-10-21
7455,17b26cf,2019-03-31,19737.31,294.97,2019-10-21
7472,17b4543,2019-08-31,45657.69,308.66,2019-10-08
7471,17b4543,2019-07-31,47554.01,318.66,2019-10-08
7470,17b4543,2019-06-30,39712.11,272.96,2019-10-08
7469,17b4543,2019-05-31,40212.53,275.14,2019-10-08
7468,17b4543,2019-04-30,46061.27,318.88,2019-10-08
7473,17b4543,2019-09-30,53545.76,339.48,2019-10-08
7466,17b4543,2019-02-28,45910.06,333.38,2019-10-08
7465,17b4543,2019-01-31,42728.48,452.99,2019-10-08
7464,17b4543,2018-12-31,59402.56,677.26,2019-10-08
7463,17b4543,2018-11-30,47863.92,545.89,2019-10-08
7462,17b4543,2018-10-31,50949.42,599.26,2019-10-08
7467,17b4543,2019-03-31,37932.96,270.51,2019-10-08
7485,17ba522,2019-09-30,26205.01,411.11,2019-10-02
7484,17ba522,2019-08-31,18350.65,271.71,2019-10-02
7483,17ba522,2019-07-31,19493.97,297.26,2019-10-02
7482,17ba522,2019-06-30,17870.76,271.67,2019-10-02
7481,17ba522,2019-05-31,20722.64,304.82,2019-10-02
7480,17ba522,2019-04-30,15286.6,216.51,2019-10-02
7479,17ba522,2019-03-31,18651.21,243.13,2019-10-02
7477,17ba522,2019-01-31,11803.11,174.12,2019-10-02
7476,17ba522,2018-12-31,17779.93,257.24,2019-10-02
7475,17ba522,2018-11-30,18985.84,287.99,2019-10-02
7474,17ba522,2018-10-31,18514.6,286.89,2019-10-02
7478,17ba522,2019-02-28,13229.66,192.06,2019-10-02
7493,17bcfa3,2019-05-31,21242.08,194.5,2019-10-07
7496,17bcfa3,2019-08-31,49437.22,453.41,2019-10-07
7495,17bcfa3,2019-07-31,24327.41,183.5,2019-10-07
7494,17bcfa3,2019-06-30,17293.2,164.99,2019-10-07
7492,17bcfa3,2019-04-30,16216.08,152.94,2019-10-07
7497,17bcfa3,2019-09-30,23446.41,199.26,2019-10-07
7490,17bcfa3,2019-02-28,46113.28,388.24,2019-10-07
7486,17bcfa3,2018-10-31,25889.37,249.44,2019-10-07
7487,17bcfa3,2018-11-30,18983.33,182.18,2019-10-07
7491,17bcfa3,2019-03-31,36573.18,311.34,2019-10-07
7489,17bcfa3,2019-01-31,11241.36,94.59,2019-10-07
7488,17bcfa3,2018-12-31,34474.1,319.93,2019-10-07
7508,17c0040,2019-08-31,128491.82,446.99,2019-09-25
7507,17c0040,2019-07-31,159266.67,527.8,2019-09-25
7506,17c0040,2019-06-30,118677.43,393.71,2019-09-25
7505,17c0040,2019-05-31,7929.53,23.12,2019-09-25
7503,17c0040,2019-03-31,143660.27,483.04,2019-09-25
7504,17c0040,2019-04-30,63071.45,210.36,2019-09-25
7501,17c0040,2019-01-31,159187.04,576.88,2019-09-25
7500,17c0040,2018-12-31,19804.34,85.59,2019-09-25
7499,17c0040,2018-10-31,16398.81,93.22,2019-09-25
7498,17c0040,2018-09-30,183481.89,766.51,2019-09-25
7502,17c0040,2019-02-28,159032.44,560.89,2019-09-25
7519,17c0efe,2019-08-31,54200.73,558.95,2019-09-18
7518,17c0efe,2019-07-31,49005.45,485.91,2019-09-18
7517,17c0efe,2019-06-30,45993.63,462.88,2019-09-18
7516,17c0efe,2019-05-31,49432.28,508.35,2019-09-18
7515,17c0efe,2019-04-30,39339.6,402.5,2019-09-18
7514,17c0efe,2019-03-31,30149.85,309.05,2019-09-18
7512,17c0efe,2019-01-31,97.44,0.99,2019-09-18
7511,17c0efe,2018-12-31,14629.57,148.22,2019-09-18
7510,17c0efe,2018-11-30,35209.21,411.55,2019-09-18
7509,17c0efe,2018-10-31,7559.65,83.15,2019-09-18
7513,17c0efe,2019-02-28,5981.25,61.71,2019-09-18
7531,17c5149,2019-09-30,18312.76,86.59,2019-10-17
7530,17c5149,2019-08-31,23622.68,130.69,2019-10-17
7529,17c5149,2019-07-31,20440.74,127.34,2019-10-17
7528,17c5149,2019-06-30,27337.14,150.45,2019-10-17
7527,17c5149,2019-05-31,21706.5,136.15,2019-10-17
7526,17c5149,2019-04-30,18368.74,134.86,2019-10-17
7524,17c5149,2019-02-28,18191.7,99.35,2019-10-17
7523,17c5149,2019-01-31,10044.85,89.47,2019-10-17
7522,17c5149,2018-12-31,39267.71,304.66,2019-10-17
7521,17c5149,2018-11-30,16048.63,134.41,2019-10-17
7520,17c5149,2018-10-31,16036.46,200.05,2019-10-17
7525,17c5149,2019-03-31,16316.33,94.03,2019-10-17
7539,17d0b49,2019-04-30,20561.68,345.34,2019-09-23
7542,17d0b49,2019-07-31,24193.27,416.95,2019-09-23
7541,17d0b49,2019-06-30,13191.63,206.86,2019-09-23
7543,17d0b49,2019-08-31,25570.19,418.66,2019-09-23
7540,17d0b49,2019-05-31,10266.66,159.86,2019-09-23
7538,17d0b49,2019-03-31,14472.81,248.82,2019-09-23
7534,17d0b49,2018-11-30,12711.14,243.99,2019-09-23
7536,17d0b49,2019-01-31,21999.12,362.77,2019-09-23
7535,17d0b49,2018-12-31,17325.03,297.05,2019-09-23
7533,17d0b49,2018-10-31,13907.93,243.08,2019-09-23
7532,17d0b49,2018-09-30,10562.53,189.68,2019-09-23
7537,17d0b49,2019-02-28,15340.92,261.05,2019-09-23
7550,17d4955,2019-09-30,5447.07,52.61,2019-10-31
7549,17d4955,2019-08-31,5519.72,55.39,2019-10-31
7548,17d4955,2019-07-31,4083.34,40.8,2019-10-31
7547,17d4955,2019-06-30,4400.46,50.92,2019-10-31
7546,17d4955,2019-05-31,5016.42,48.41,2019-10-31
7545,17d4955,2019-04-30,9173.28,98.46,2019-10-31
7544,17d4955,2019-03-31,1977.44,19.38,2019-10-31
7560,17d5637,2019-08-31,3565.44,36.97,2019-10-31
7559,17d5637,2019-07-31,3448.77,32.21,2019-10-31
7558,17d5637,2019-06-30,2642.84,26.86,2019-10-31
7557,17d5637,2019-05-31,1627.96,23.13,2019-10-31
7556,17d5637,2019-04-30,355.19,3.04,2019-10-31
7561,17d5637,2019-09-30,4819.86,54.25,2019-10-31
7554,17d5637,2019-01-31,761.07,10.49,2019-10-31
7553,17d5637,2018-12-31,4391.66,60.25,2019-10-31
7552,17d5637,2018-11-30,2678.22,40.84,2019-10-31
7551,17d5637,2018-10-31,2310.81,35.34,2019-10-31
7555,17d5637,2019-03-31,117.88,1.66,2019-10-31
7573,17f48b9,2019-09-30,11314.35,110.64,2019-10-28
7572,17f48b9,2019-08-31,10373.66,116.56,2019-10-28
7571,17f48b9,2019-07-31,9248.1,108.47,2019-10-28
7569,17f48b9,2019-05-31,7514.62,83.74,2019-10-28
7568,17f48b9,2019-04-30,5988.64,67.44,2019-10-28
7570,17f48b9,2019-06-30,7418.49,89.79,2019-10-28
7566,17f48b9,2019-02-28,4841.12,54.76,2019-10-28
7565,17f48b9,2019-01-31,7029.38,85.2,2019-10-28
7564,17f48b9,2018-12-31,9088.89,107.95,2019-10-28
7563,17f48b9,2018-11-30,9014.8,110.52,2019-10-28
7562,17f48b9,2018-10-31,5926.22,94.74,2019-10-28
7567,17f48b9,2019-03-31,4820.23,56.68,2019-10-28
7581,17f5bbd,2019-09-30,6828.63,72.92,2019-10-23
7580,17f5bbd,2019-08-31,5851.84,52.39,2019-10-23
7579,17f5bbd,2019-07-31,5109.51,59.57,2019-10-23
7578,17f5bbd,2019-06-30,4179.48,47.51,2019-10-23
7576,17f5bbd,2019-04-30,4825.46,49.87,2019-10-23
7575,17f5bbd,2019-03-31,5756.36,63.23,2019-10-23
7574,17f5bbd,2019-02-28,438.48,5.17,2019-10-23
7577,17f5bbd,2019-05-31,7827.61,83.68,2019-10-23
7586,17fe651,2019-08-31,14309.8,162.1,2019-10-31
7587,17fe651,2019-09-30,13422.39,156.52,2019-10-31
7585,17fe651,2019-07-31,13913.68,167.1,2019-10-31
7582,17fe651,2019-04-30,14693.1,183.72,2019-10-31
7583,17fe651,2019-05-31,15290.25,181.29,2019-10-31
7584,17fe651,2019-06-30,13998.52,161.41,2019-10-31
7588,1807fd1,2018-12-31,16003.65,65.96,2019-09-20
7589,1807fd1,2019-01-31,20933.07,90.27,2019-09-20
7590,1807fd1,2019-02-28,16838.85,75.94,2019-09-20
7591,1807fd1,2019-03-31,21692.58,93.42,2019-09-20
7592,1807fd1,2019-04-30,14135.76,56.04,2019-09-20
7593,1807fd1,2019-05-31,32797.26,145.28,2019-09-20
7594,1807fd1,2019-06-30,67517.22,384.15,2019-09-20
7595,1807fd1,2019-07-31,67081.35,349.59,2019-09-20
7596,1807fd1,2019-08-31,24331.29,107.33,2019-09-20
7608,1813808,2019-09-30,33731.35,399.8,2019-10-16
7607,1813808,2019-08-31,37790.48,394.74,2019-10-16
7606,1813808,2019-07-31,21382.42,215.96,2019-10-16
7604,1813808,2019-05-31,31850.7,292.05,2019-10-16
7603,1813808,2019-04-30,22695.69,223.34,2019-10-16
7605,1813808,2019-06-30,24851.12,256.69,2019-10-16
7601,1813808,2019-02-28,30266.86,413.63,2019-10-16
7600,1813808,2019-01-31,39029.07,390.32,2019-10-16
7599,1813808,2018-12-31,20357.13,209.94,2019-10-16
7598,1813808,2018-11-30,32223.93,510.29,2019-10-16
