,client_id,mes,total_rav,margem_rav,duration_rav,tipo_rav,data_de_desembolso
12470,2970675,2019-06-30,8598.64,273.29,40.64,1,2019-10-02
12469,2970675,2019-05-31,11582.31,411.1,39.57,1,2019-10-02
12467,2970675,2019-03-31,11095.87,395.83,39.66,1,2019-10-02
12466,2970675,2019-02-28,11674.92,394.3,37.55,1,2019-10-02
12465,2970675,2019-01-31,1216.89,43.22,39.49,1,2019-10-02
12468,2970675,2019-04-30,11767.37,474.4,44.82,1,2019-10-02
12485,2974187,2019-08-31,3810.16,233.3,46.56,1,2019-09-02
12484,2974187,2019-07-31,4799.08,296.94,47.05,1,2019-09-02
12483,2974187,2019-06-30,4015.11,208.32,39.46,1,2019-09-02
12482,2974187,2019-05-31,4217.52,117.78,21.24,1,2019-09-02
12481,2974187,2019-04-30,1849.81,52.54,21.6,1,2019-09-02
12480,2974187,2019-03-31,4135.11,167.76,30.85,1,2019-09-02
12478,2974187,2019-01-31,3716.64,135.49,27.72,1,2019-09-02
12477,2974187,2018-12-31,4782.99,218.17,34.69,1,2019-09-02
12476,2974187,2018-11-30,3192.98,167.69,39.94,1,2019-09-02
12475,2974187,2018-10-31,4713.19,252.07,40.67,1,2019-09-02
12474,2974187,2018-09-30,2195.95,94.01,32.56,1,2019-09-02
12479,2974187,2019-02-28,6662.42,293.0,33.44,1,2019-09-02
12495,297a2c9,2019-08-31,3438.61,95.61,24.97,1,2019-09-05
12494,297a2c9,2019-07-31,4046.16,115.15,24.31,1,2019-09-05
12493,297a2c9,2019-06-30,2974.82,88.17,24.25,2,2019-09-05
12492,297a2c9,2019-05-31,4616.0,138.9,24.62,2,2019-09-05
12491,297a2c9,2019-04-30,5359.36,161.74,24.69,2,2019-09-05
12489,297a2c9,2019-02-28,3698.04,105.64,23.38,2,2019-09-05
12488,297a2c9,2019-01-31,5180.87,121.59,19.2,2,2019-09-05
12487,297a2c9,2018-12-31,1980.84,24.97,10.66,1,2019-09-05
12486,297a2c9,2018-11-30,472.73,22.07,25.13,2,2019-09-05
12490,297a2c9,2019-03-31,3512.37,106.53,24.82,2,2019-09-05
12503,298a294,2019-04-30,47349.09,974.09,25.05,1,2019-09-26
12507,298a294,2019-08-31,50894.14,1049.78,25.12,1,2019-09-26
12506,298a294,2019-07-31,60103.8,1236.22,25.05,1,2019-09-26
12505,298a294,2019-06-30,42057.44,865.15,25.05,1,2019-09-26
12504,298a294,2019-05-31,45194.04,935.49,25.2,1,2019-09-26
12502,298a294,2019-03-31,42362.41,869.38,24.99,1,2019-09-26
12501,298a294,2019-02-28,46626.35,972.95,25.41,1,2019-09-26
12500,298a294,2019-01-31,47090.81,972.74,25.15,1,2019-09-26
12499,298a294,2018-12-31,48149.87,995.18,25.17,1,2019-09-26
12498,298a294,2018-11-30,47730.95,989.85,25.25,1,2019-09-26
12497,298a294,2018-10-31,50175.77,1787.48,25.13,1,2019-09-26
12496,298a294,2018-09-30,53730.09,2116.0,25.07,1,2019-09-26
12515,298bfcd,2019-09-30,1889.5,78.08,28.27,1,2019-10-30
12514,298bfcd,2019-08-31,789.21,29.55,25.62,1,2019-10-30
12513,298bfcd,2019-07-31,2340.02,97.57,28.53,1,2019-10-30
12512,298bfcd,2019-06-30,610.84,22.12,24.77,1,2019-10-30
12510,298bfcd,2019-04-30,2136.47,71.29,22.83,2,2019-10-30
12509,298bfcd,2019-03-31,1118.53,41.46,25.36,1,2019-10-30
12508,298bfcd,2019-02-28,675.26,30.01,30.4,1,2019-10-30
12511,298bfcd,2019-05-31,1818.14,68.49,25.77,1,2019-10-30
12523,298ea30,2019-05-31,2348.78,152.29,44.36,1,2019-10-16
12526,298ea30,2019-08-31,5044.4,374.12,50.74,1,2019-10-16
12525,298ea30,2019-07-31,8142.11,603.12,50.68,1,2019-10-16
12527,298ea30,2019-09-30,3776.17,203.55,36.88,1,2019-10-16
12524,298ea30,2019-06-30,3598.57,243.86,46.36,1,2019-10-16
12522,298ea30,2019-04-30,6060.72,513.01,57.91,1,2019-10-16
12518,298ea30,2018-12-31,5156.08,398.38,52.86,1,2019-10-16
12520,298ea30,2019-02-28,5980.1,455.55,52.12,1,2019-10-16
12519,298ea30,2019-01-31,3668.35,280.98,52.41,1,2019-10-16
12517,298ea30,2018-11-30,4257.1,301.29,48.42,1,2019-10-16
12516,298ea30,2018-10-31,17309.96,1254.92,49.6,1,2019-10-16
12521,298ea30,2019-03-31,2890.35,207.21,49.05,1,2019-10-16
12535,298f478,2019-09-30,1169.4,108.18,63.29,2,2019-10-07
12534,298f478,2019-08-31,7136.19,453.33,43.46,2,2019-10-07
12533,298f478,2019-07-31,2063.16,143.76,47.67,2,2019-10-07
12532,298f478,2019-06-30,1838.85,151.3,56.29,2,2019-10-07
12530,298f478,2019-04-30,2088.22,265.56,87.01,2,2019-10-07
12529,298f478,2019-03-31,1657.1,86.97,35.91,2,2019-10-07
12528,298f478,2019-02-28,6173.99,551.12,61.07,2,2019-10-07
12531,298f478,2019-05-31,668.23,39.02,39.95,2,2019-10-07
12543,2990d2f,2019-04-30,10272.96,624.82,35.55,1,2019-09-05
12546,2990d2f,2019-07-31,12451.67,785.93,36.89,1,2019-09-05
12545,2990d2f,2019-06-30,11058.89,717.46,37.92,1,2019-09-05
12544,2990d2f,2019-05-31,11487.44,693.54,35.29,1,2019-09-05
12547,2990d2f,2019-08-31,14180.98,903.39,37.23,1,2019-09-05
12542,2990d2f,2019-03-31,12600.03,716.42,33.23,1,2019-09-05
12539,2990d2f,2018-12-31,11341.85,685.85,35.34,1,2019-09-05
12540,2990d2f,2019-01-31,8009.57,505.86,36.91,1,2019-09-05
12538,2990d2f,2018-11-30,10704.7,661.97,36.14,1,2019-09-05
12537,2990d2f,2018-10-31,13067.25,905.46,40.5,1,2019-09-05
12536,2990d2f,2018-09-30,9824.82,611.24,36.36,1,2019-09-05
12541,2990d2f,2019-02-28,10135.14,644.62,37.17,1,2019-09-05
12548,299f154,2019-03-31,109827.36,1990.96,14.83,2,2019-09-10
12549,299f154,2019-04-30,145855.16,1575.02,8.84,2,2019-09-10
12550,299f154,2019-05-31,62680.3,1302.05,17.0,2,2019-09-10
12551,299f154,2019-06-30,90257.96,2161.39,19.81,1,2019-09-10
12552,299f154,2019-07-31,50641.28,1331.56,23.94,1,2019-09-10
12553,299f154,2019-08-31,48425.93,1175.28,23.09,1,2019-09-10
12560,299f501,2019-08-31,5783.44,467.92,95.12,2,2019-09-05
12559,299f501,2019-07-31,3759.85,101.85,31.85,2,2019-09-05
12557,299f501,2019-05-31,2139.41,52.33,28.76,2,2019-09-05
12558,299f501,2019-06-30,3528.15,92.85,30.94,2,2019-09-05
12555,299f501,2019-03-31,3148.57,72.13,26.93,2,2019-09-05
12554,299f501,2018-12-31,6988.27,433.94,73.0,2,2019-09-05
12556,299f501,2019-04-30,4682.31,179.09,44.97,2,2019-09-05
12572,29a02a7,2019-09-30,13638.21,906.41,57.85,1,2019-10-07
12571,29a02a7,2019-08-31,11396.79,676.39,51.66,1,2019-10-07
12570,29a02a7,2019-07-31,16744.1,996.52,51.81,1,2019-10-07
12569,29a02a7,2019-06-30,9869.53,599.24,52.85,1,2019-10-07
12568,29a02a7,2019-05-31,12376.74,638.24,44.89,1,2019-10-07
12567,29a02a7,2019-04-30,13697.86,728.96,46.33,1,2019-10-07
12565,29a02a7,2019-02-28,11052.5,656.64,51.72,1,2019-10-07
12564,29a02a7,2019-01-31,11030.96,577.29,45.56,1,2019-10-07
12563,29a02a7,2018-12-31,11169.46,580.21,45.22,1,2019-10-07
12562,29a02a7,2018-11-30,9126.3,503.25,48.0,1,2019-10-07
12561,29a02a7,2018-10-31,1130.24,40.55,31.23,1,2019-10-07
12566,29a02a7,2019-03-31,15697.37,955.49,52.99,1,2019-10-07
12581,29aacf9,2019-05-31,4768.39,382.0,60.92,1,2019-09-20
12584,29aacf9,2019-08-31,5652.34,773.19,104.03,1,2019-09-20
12583,29aacf9,2019-07-31,8137.35,584.44,54.62,1,2019-09-20
12582,29aacf9,2019-06-30,8281.37,561.81,51.59,1,2019-09-20
12579,29aacf9,2019-03-31,1163.05,113.49,64.39,1,2019-09-20
12580,29aacf9,2019-04-30,1718.45,125.73,48.73,1,2019-09-20
12577,29aacf9,2019-01-31,579.69,27.38,31.17,1,2019-09-20
12576,29aacf9,2018-12-31,2906.75,257.7,58.5,1,2019-09-20
12575,29aacf9,2018-11-30,157.57,6.77,28.35,1,2019-09-20
12574,29aacf9,2018-10-31,319.36,22.19,45.85,1,2019-09-20
12573,29aacf9,2018-09-30,1182.24,129.79,72.45,1,2019-09-20
12578,29aacf9,2019-02-28,1767.89,119.95,44.77,1,2019-09-20
12596,29c1fe9,2019-09-30,58741.6,1489.27,25.05,1,2019-10-28
12595,29c1fe9,2019-08-31,54616.79,1394.72,25.2,1,2019-10-28
12594,29c1fe9,2019-07-31,68108.38,1731.0,25.08,1,2019-10-28
12593,29c1fe9,2019-06-30,55128.4,1428.75,25.12,1,2019-10-28
12592,29c1fe9,2019-05-31,55859.58,1485.46,25.1,1,2019-10-28
12591,29c1fe9,2019-04-30,57092.89,1506.86,24.91,1,2019-10-28
12590,29c1fe9,2019-03-31,39472.11,1038.72,24.95,1,2019-10-28
12588,29c1fe9,2019-01-31,40302.56,1032.18,24.21,1,2019-10-28
12587,29c1fe9,2018-12-31,46249.61,1192.85,24.57,1,2019-10-28
12586,29c1fe9,2018-11-30,34856.3,873.71,23.94,1,2019-10-28
12585,29c1fe9,2018-10-31,37595.67,902.69,22.98,1,2019-10-28
12589,29c1fe9,2019-02-28,51075.12,1335.46,25.01,1,2019-10-28
12604,29e1b55,2019-04-30,16235.41,1632.17,102.83,1,2019-09-25
12608,29e1b55,2019-08-31,12726.78,1202.74,96.66,1,2019-09-25
12607,29e1b55,2019-07-31,15138.65,1394.44,94.21,1,2019-09-25
12606,29e1b55,2019-06-30,22937.25,2284.57,101.88,1,2019-09-25
12605,29e1b55,2019-05-31,19557.66,2125.15,111.14,1,2019-09-25
12603,29e1b55,2019-03-31,19377.48,1959.2,103.42,1,2019-09-25
12597,29e1b55,2018-09-30,15288.77,1551.15,103.77,1,2019-09-25
12601,29e1b55,2019-01-31,6431.58,552.85,87.92,1,2019-09-25
12600,29e1b55,2018-12-31,10393.25,1083.42,106.62,1,2019-09-25
12599,29e1b55,2018-11-30,8948.82,737.34,84.28,1,2019-09-25
12598,29e1b55,2018-10-31,3433.29,320.73,95.55,1,2019-09-25
12602,29e1b55,2019-02-28,11030.89,1176.89,109.13,1,2019-09-25
12619,29e41cd,2019-07-31,10011.35,467.44,36.74,1,2019-09-26
12618,29e41cd,2019-06-30,10867.27,534.64,38.71,1,2019-09-26
12617,29e41cd,2019-05-31,15161.91,807.54,41.91,1,2019-09-26
12616,29e41cd,2019-04-30,13094.99,659.32,39.61,1,2019-09-26
12615,29e41cd,2019-03-31,12223.25,640.58,41.23,1,2019-09-26
12620,29e41cd,2019-08-31,14687.62,793.88,42.53,1,2019-09-26
12613,29e41cd,2019-01-31,10709.81,553.28,40.65,1,2019-09-26
12612,29e41cd,2018-12-31,8603.6,361.77,33.08,1,2019-09-26
12611,29e41cd,2018-11-30,10446.08,441.73,33.27,1,2019-09-26
12610,29e41cd,2018-10-31,10235.76,453.47,34.86,1,2019-09-26
12609,29e41cd,2018-09-30,12938.8,722.47,43.93,1,2019-09-26
12614,29e41cd,2019-02-28,17743.75,934.33,41.43,1,2019-09-26
12621,29ec387,2018-10-31,10702.47,241.58,12.15,2,2019-10-07
12633,2a07373,2019-09-30,1033.71,35.23,24.9,1,2019-10-07
12632,2a07373,2019-08-31,924.26,31.59,24.97,1,2019-10-07
12631,2a07373,2019-07-31,1079.35,37.18,25.17,1,2019-10-07
12630,2a07373,2019-06-30,665.46,22.84,25.08,1,2019-10-07
12629,2a07373,2019-05-31,388.12,13.45,25.32,1,2019-10-07
12628,2a07373,2019-04-30,629.98,21.73,25.2,1,2019-10-07
12626,2a07373,2019-02-28,1824.87,63.61,25.46,1,2019-10-07
12625,2a07373,2019-01-31,2070.43,71.33,25.17,1,2019-10-07
12624,2a07373,2018-12-31,3376.66,116.12,25.12,1,2019-10-07
12623,2a07373,2018-11-30,4993.24,172.78,25.28,1,2019-10-07
12622,2a07373,2018-10-31,6251.65,214.08,25.02,1,2019-10-07
12627,2a07373,2019-03-31,564.89,19.28,24.94,1,2019-10-07
12640,2a081c2,2019-07-31,12076.33,562.69,59.57,1,2019-10-02
12642,2a081c2,2019-09-30,11826.41,369.94,39.99,1,2019-10-02
12641,2a081c2,2019-08-31,4650.11,120.73,33.2,1,2019-10-02
12639,2a081c2,2019-06-30,14999.51,1458.84,124.35,1,2019-10-02
12634,2a081c2,2019-01-31,2619.9,242.58,118.38,1,2019-10-02
12637,2a081c2,2019-04-30,10616.88,482.47,58.1,1,2019-10-02
12636,2a081c2,2019-03-31,13083.35,617.81,60.38,1,2019-10-02
12635,2a081c2,2019-02-28,13079.06,676.59,66.14,1,2019-10-02
12638,2a081c2,2019-05-31,10415.68,782.25,96.02,1,2019-10-02
12651,2a08308,2019-09-30,832.48,27.5,25.12,1,2019-10-28
12650,2a08308,2019-08-31,1169.23,44.5,28.95,1,2019-10-28
12649,2a08308,2019-07-31,1481.99,47.6,24.43,1,2019-10-28
12648,2a08308,2019-06-30,273.7,9.18,25.5,1,2019-10-28
12647,2a08308,2019-05-31,172.64,5.75,25.35,1,2019-10-28
12646,2a08308,2019-04-30,76.42,2.51,25.0,1,2019-10-28
12645,2a08308,2019-03-31,23.58,0.82,26.54,1,2019-10-28
12644,2a08308,2019-02-28,33.69,1.14,25.75,1,2019-10-28
12643,2a08308,2019-01-31,56.0,1.86,25.22,1,2019-10-28
12662,2a099b3,2019-09-30,17285.41,902.67,71.22,1,2019-10-08
12661,2a099b3,2019-08-31,27475.9,1923.53,95.48,1,2019-10-08
12660,2a099b3,2019-07-31,23069.86,1830.41,108.21,1,2019-10-08
12659,2a099b3,2019-06-30,15407.3,2740.21,118.64,1,2019-10-08
12658,2a099b3,2019-05-31,37606.94,4362.25,67.99,2,2019-10-08
12653,2a099b3,2018-11-30,27146.69,2811.01,60.7,2,2019-10-08
12656,2a099b3,2019-03-31,10217.06,275.42,15.8,2,2019-10-08
12655,2a099b3,2019-02-28,19506.04,4164.21,125.13,2,2019-10-08
12654,2a099b3,2019-01-31,12024.93,376.0,18.33,2,2019-10-08
12652,2a099b3,2018-10-31,18110.15,908.61,29.41,2,2019-10-08
12657,2a099b3,2019-04-30,3694.9,277.65,44.05,2,2019-10-08
12670,2a14dd1,2019-04-30,8462.93,484.59,35.5,1,2019-09-25
12673,2a14dd1,2019-07-31,8409.81,455.46,33.57,1,2019-09-25
12672,2a14dd1,2019-06-30,21601.46,1285.97,36.9,1,2019-09-25
12671,2a14dd1,2019-05-31,21899.46,1329.23,37.63,1,2019-09-25
12669,2a14dd1,2019-03-31,12873.89,628.56,30.27,1,2019-09-25
12674,2a14dd1,2019-08-31,12897.41,824.81,39.64,1,2019-09-25
12667,2a14dd1,2019-01-31,7809.06,447.72,35.54,1,2019-09-25
12666,2a14dd1,2018-12-31,20119.65,1280.87,39.46,1,2019-09-25
12665,2a14dd1,2018-11-30,18382.39,1112.18,37.51,1,2019-09-25
12664,2a14dd1,2018-10-31,16819.44,938.88,34.6,1,2019-09-25
12663,2a14dd1,2018-09-30,12326.42,769.96,38.72,1,2019-09-25
12668,2a14dd1,2019-02-28,22782.02,1233.04,33.55,1,2019-09-25
12681,2a2a74a,2019-09-30,2722.93,83.32,25.04,1,2019-10-30
12680,2a2a74a,2019-08-31,3121.37,95.92,25.15,1,2019-10-30
12679,2a2a74a,2019-07-31,5739.54,174.93,24.94,1,2019-10-30
12677,2a2a74a,2019-05-31,5036.6,154.06,25.03,1,2019-10-30
12676,2a2a74a,2019-04-30,3977.45,121.51,25.0,1,2019-10-30
12675,2a2a74a,2019-03-31,32.48,1.07,26.97,1,2019-10-30
12678,2a2a74a,2019-06-30,9644.17,297.42,25.24,1,2019-10-30
12693,2a3eef7,2019-08-31,13278.7,1418.28,59.82,1,2019-09-25
12692,2a3eef7,2019-07-31,8240.17,900.68,52.61,2,2019-09-25
12691,2a3eef7,2019-06-30,12933.69,1550.88,62.13,1,2019-09-25
12690,2a3eef7,2019-05-31,6822.18,694.38,54.1,1,2019-09-25
12688,2a3eef7,2019-03-31,4231.69,534.32,60.78,2,2019-09-25
12689,2a3eef7,2019-04-30,8062.63,761.58,46.25,1,2019-09-25
12686,2a3eef7,2019-01-31,1712.02,107.04,34.95,1,2019-09-25
12685,2a3eef7,2018-12-31,6703.05,573.48,41.18,2,2019-09-25
12684,2a3eef7,2018-11-30,6125.7,573.25,45.04,2,2019-09-25
12683,2a3eef7,2018-10-31,13330.54,1047.53,43.14,1,2019-09-25
12682,2a3eef7,2018-09-30,3955.85,434.51,52.87,2,2019-09-25
12687,2a3eef7,2019-02-28,13846.18,1544.07,55.25,1,2019-09-25
12705,2a421e5,2019-08-31,32993.59,3870.06,79.98,1,2019-09-25
12704,2a421e5,2019-07-31,26874.7,2442.72,58.51,1,2019-09-25
12703,2a421e5,2019-06-30,7931.46,653.88,56.22,1,2019-09-25
12702,2a421e5,2019-05-31,3621.7,299.64,56.42,1,2019-09-25
12701,2a421e5,2019-04-30,18273.28,1297.74,48.43,1,2019-09-25
12700,2a421e5,2019-03-31,7857.34,601.39,52.19,1,2019-09-25
12699,2a421e5,2019-02-28,6083.89,392.95,44.04,1,2019-09-25
12697,2a421e5,2018-12-31,25506.76,1795.29,47.99,1,2019-09-25
12696,2a421e5,2018-11-30,30441.42,3199.61,56.88,1,2019-09-25
12695,2a421e5,2018-10-31,17446.33,1928.04,59.81,1,2019-09-25
12694,2a421e5,2018-09-30,18349.97,1556.99,45.92,1,2019-09-25
12698,2a421e5,2019-01-31,12236.5,863.03,43.14,1,2019-09-25
12713,2a44c5c,2019-05-31,35985.94,1464.73,46.52,1,2019-10-07
12716,2a44c5c,2019-08-31,52390.88,2756.09,60.12,1,2019-10-07
12715,2a44c5c,2019-07-31,38215.98,1558.28,46.6,1,2019-10-07
12714,2a44c5c,2019-06-30,44924.71,2106.87,53.6,1,2019-10-07
12712,2a44c5c,2019-04-30,29839.79,1819.97,69.7,1,2019-10-07
12717,2a44c5c,2019-09-30,43780.31,2596.97,67.01,1,2019-10-07
12710,2a44c5c,2019-02-28,46816.72,2523.84,61.61,1,2019-10-07
12709,2a44c5c,2019-01-31,59626.66,2849.65,49.79,1,2019-10-07
12708,2a44c5c,2018-12-31,67852.23,4721.12,71.53,1,2019-10-07
12707,2a44c5c,2018-11-30,47267.37,2504.72,54.47,1,2019-10-07
12706,2a44c5c,2018-10-31,43878.96,2057.36,48.2,1,2019-10-07
12711,2a44c5c,2019-03-31,31156.27,2093.25,76.78,1,2019-10-07
12729,2a5ddcb,2019-09-30,14698.26,835.8,42.92,1,2019-10-07
12728,2a5ddcb,2019-08-31,21613.05,1297.93,45.33,1,2019-10-07
12727,2a5ddcb,2019-07-31,20038.73,1139.5,42.93,1,2019-10-07
12726,2a5ddcb,2019-06-30,15170.47,778.35,38.73,1,2019-10-07
12725,2a5ddcb,2019-05-31,14812.01,865.01,44.08,1,2019-10-07
12724,2a5ddcb,2019-04-30,19377.17,1186.56,46.22,1,2019-10-07
12722,2a5ddcb,2019-02-28,16684.87,928.74,42.02,1,2019-10-07
12721,2a5ddcb,2019-01-31,22112.01,1126.99,38.47,1,2019-10-07
12720,2a5ddcb,2018-12-31,24512.75,1355.07,41.73,1,2019-10-07
12719,2a5ddcb,2018-11-30,19883.19,1075.32,40.82,1,2019-10-07
12718,2a5ddcb,2018-10-31,20252.03,1069.92,39.88,1,2019-10-07
12723,2a5ddcb,2019-03-31,17893.05,943.01,39.78,1,2019-10-07
12735,2a5f2f7,2019-07-31,2808.55,78.9,24.99,1,2019-10-21
12737,2a5f2f7,2019-09-30,1204.87,33.25,24.54,1,2019-10-21
12736,2a5f2f7,2019-08-31,2205.46,61.88,24.95,1,2019-10-21
12734,2a5f2f7,2019-06-30,2643.65,74.06,24.92,1,2019-10-21
12733,2a5f2f7,2019-05-31,1959.83,55.03,24.97,1,2019-10-21
12732,2a5f2f7,2019-04-30,1704.2,47.52,24.8,1,2019-10-21
12731,2a5f2f7,2019-03-31,2124.07,59.56,24.94,1,2019-10-21
12730,2a5f2f7,2019-02-28,827.02,22.95,24.68,1,2019-10-21
12749,2a6c85c,2019-09-30,21967.44,1301.42,54.99,1,2019-10-16
12748,2a6c85c,2019-08-31,22765.13,1312.0,42.26,1,2019-10-16
12747,2a6c85c,2019-07-31,9475.99,608.39,47.07,1,2019-10-16
12746,2a6c85c,2019-06-30,13978.13,706.76,37.07,1,2019-10-16
12744,2a6c85c,2019-04-30,14748.86,1110.48,55.21,1,2019-10-16
12745,2a6c85c,2019-05-31,1912.39,138.77,53.2,1,2019-10-16
12742,2a6c85c,2019-02-28,31903.47,2353.64,54.09,1,2019-10-16
12741,2a6c85c,2019-01-31,18500.16,1034.39,41.0,1,2019-10-16
12740,2a6c85c,2018-12-31,26718.28,2222.55,60.99,1,2019-10-16
12739,2a6c85c,2018-11-30,25145.45,1859.8,54.23,1,2019-10-16
12738,2a6c85c,2018-10-31,79499.2,5046.05,46.54,1,2019-10-16
12743,2a6c85c,2019-03-31,9254.26,734.9,58.23,1,2019-10-16
12757,2a72158,2019-04-30,8832.49,266.28,24.7,1,2019-09-25
12761,2a72158,2019-08-31,5563.6,148.62,25.07,1,2019-09-25
12760,2a72158,2019-07-31,7771.99,206.26,24.9,1,2019-09-25
12759,2a72158,2019-06-30,3902.37,104.82,25.21,1,2019-09-25
12758,2a72158,2019-05-31,7067.25,187.35,24.88,1,2019-09-25
12756,2a72158,2019-03-31,6474.77,304.74,24.75,1,2019-09-25
12755,2a72158,2019-02-28,6488.67,312.15,25.3,1,2019-09-25
12754,2a72158,2019-01-31,5527.67,263.8,25.1,1,2019-09-25
12753,2a72158,2018-12-31,6199.78,295.55,25.07,1,2019-09-25
12752,2a72158,2018-11-30,7245.01,343.54,24.94,1,2019-09-25
12751,2a72158,2018-10-31,6073.86,286.6,24.81,1,2019-09-25
12750,2a72158,2018-09-30,6742.95,319.0,24.88,1,2019-09-25
12769,2a7eb13,2019-08-31,22330.32,653.56,24.95,2,2019-09-02
12768,2a7eb13,2019-07-31,37804.91,781.58,17.62,2,2019-09-02
12767,2a7eb13,2019-06-30,24415.96,642.82,22.44,2,2019-09-02
12766,2a7eb13,2019-05-31,23342.26,633.38,23.13,2,2019-09-02
12765,2a7eb13,2019-04-30,31323.64,885.38,24.09,2,2019-09-02
12764,2a7eb13,2019-03-31,20078.49,497.03,21.1,2,2019-09-02
12763,2a7eb13,2019-02-28,22611.14,482.76,18.2,2,2019-09-02
12762,2a7eb13,2019-01-31,30615.42,557.22,15.51,2,2019-09-02
12781,2a8ee5a,2019-08-31,28037.32,2505.5,73.12,2,2019-09-25
12780,2a8ee5a,2019-07-31,40245.36,4316.37,87.76,2,2019-09-25
12779,2a8ee5a,2019-06-30,26056.3,2686.27,84.36,2,2019-09-25
12778,2a8ee5a,2019-05-31,26839.89,2236.99,68.2,2,2019-09-25
12776,2a8ee5a,2019-03-31,28397.71,2407.4,69.37,2,2019-09-25
12777,2a8ee5a,2019-04-30,41201.93,3730.18,74.08,2,2019-09-25
12774,2a8ee5a,2019-01-31,34251.8,3521.99,84.14,2,2019-09-25
12773,2a8ee5a,2018-12-31,29564.51,1966.1,54.7,2,2019-09-25
12772,2a8ee5a,2018-11-30,26205.4,2024.24,63.21,2,2019-09-25
12771,2a8ee5a,2018-10-31,32330.99,2911.66,71.81,2,2019-09-25
12770,2a8ee5a,2018-09-30,29732.79,2891.53,77.11,2,2019-09-25
12775,2a8ee5a,2019-02-28,23090.03,1620.49,57.43,2,2019-09-25
12792,2a92aca,2019-09-30,37547.34,3240.28,83.14,1,2019-10-11
12791,2a92aca,2019-08-31,28137.67,2698.27,81.61,1,2019-10-11
12790,2a92aca,2019-07-31,16128.3,1025.08,57.43,1,2019-10-11
12789,2a92aca,2019-06-30,20103.26,2213.58,101.32,1,2019-10-11
12788,2a92aca,2019-05-31,12539.79,803.89,61.07,1,2019-10-11
12787,2a92aca,2019-04-30,16263.27,1035.91,65.48,1,2019-10-11
12785,2a92aca,2019-02-28,16614.11,1153.1,71.35,1,2019-10-11
12784,2a92aca,2019-01-31,16401.93,1133.46,71.04,1,2019-10-11
12783,2a92aca,2018-12-31,28496.56,2122.88,76.58,1,2019-10-11
12782,2a92aca,2018-11-30,7214.56,564.44,80.43,1,2019-10-11
12786,2a92aca,2019-03-31,3070.98,262.75,87.95,1,2019-10-11
12800,2aaba6c,2019-04-30,8037.61,334.11,30.92,1,2019-09-18
12803,2aaba6c,2019-07-31,4502.83,176.43,29.15,1,2019-09-18
12804,2aaba6c,2019-08-31,7367.75,289.32,29.21,1,2019-09-18
12802,2aaba6c,2019-06-30,6259.9,246.16,29.25,1,2019-09-18
12801,2aaba6c,2019-05-31,3829.19,164.63,31.98,1,2019-09-18
12799,2aaba6c,2019-03-31,7580.01,308.95,30.32,1,2019-09-18
12794,2aaba6c,2018-10-31,8721.66,344.24,29.36,1,2019-09-18
12797,2aaba6c,2019-01-31,5709.25,201.45,26.25,1,2019-09-18
12793,2aaba6c,2018-09-30,8244.31,330.95,29.86,1,2019-09-18
12798,2aaba6c,2019-02-28,6462.27,277.28,31.92,1,2019-09-18
12796,2aaba6c,2018-12-31,8306.31,333.48,29.86,1,2019-09-18
12795,2aaba6c,2018-11-30,5811.47,241.97,30.97,1,2019-09-18
12805,2aac561,2018-11-30,11119.35,740.47,32.0,1,2019-10-07
12806,2aac561,2018-12-31,11165.45,1136.07,42.65,2,2019-10-07
12807,2aac561,2019-01-31,1485.46,111.12,31.36,2,2019-10-07
12808,2aac561,2019-02-28,4074.54,299.84,30.85,2,2019-10-07
12809,2aac561,2019-03-31,8198.49,553.69,28.31,2,2019-10-07
12810,2aac561,2019-04-30,5389.74,457.37,35.57,2,2019-10-07
12812,2aac561,2019-06-30,2193.61,161.5,30.86,2,2019-10-07
12813,2aac561,2019-07-31,8889.82,530.74,25.21,2,2019-10-07
12814,2aac561,2019-08-31,6971.57,369.81,32.39,1,2019-10-07
12815,2aac561,2019-09-30,17296.98,1164.97,41.13,1,2019-10-07
12811,2aac561,2019-05-31,5268.19,401.65,31.96,2,2019-10-07
12821,2ab2456,2019-04-30,2327.35,93.07,36.36,1,2019-09-02
12824,2ab2456,2019-07-31,3087.58,123.01,36.22,1,2019-09-02
12823,2ab2456,2019-06-30,3096.47,130.12,38.21,1,2019-09-02
12822,2ab2456,2019-05-31,1872.89,69.24,33.61,1,2019-09-02
12825,2ab2456,2019-08-31,2130.61,86.54,36.93,1,2019-09-02
12820,2ab2456,2019-03-31,2943.64,115.54,35.69,1,2019-09-02
12817,2ab2456,2018-12-31,12639.17,467.55,33.63,1,2019-09-02
12816,2ab2456,2018-11-30,127.13,3.77,26.97,1,2019-09-02
12819,2ab2456,2019-02-28,3655.29,129.35,32.17,1,2019-09-02
12818,2ab2456,2019-01-31,6638.2,250.06,34.25,1,2019-09-02
12826,2ab51e4,2018-12-31,34787.74,607.92,14.9,2,2019-09-16
12827,2ab51e4,2019-01-31,57337.37,1549.36,23.03,2,2019-09-16
12828,2ab51e4,2019-02-28,69292.71,1639.46,24.32,1,2019-09-16
12829,2ab51e4,2019-03-31,75438.0,1706.75,23.26,1,2019-09-16
12830,2ab51e4,2019-04-30,83715.44,1953.49,23.99,1,2019-09-16
12831,2ab51e4,2019-05-31,74000.81,1946.85,27.04,1,2019-09-16
12832,2ab51e4,2019-06-30,80027.63,1848.75,23.75,1,2019-09-16
