,client_id,data_de_desembolso,data_cadastro,tpv_prometido,mcc,segmento,cidade,bairro,canal_de_vendas,subcanal_de_vendas,uf,regiao
715,1cbf1b2,31/10/2019,26/04/2019,4000.0,2,2,6,1226,1,1,8,3
2781,1cd21f5,03/10/2019,20/09/2018,10000.0,7,7,49,1395,1,1,19,4
2681,1cfac00,31/10/2019,22/03/2019,28000.0,3,1,38,2742,1,1,1,1
3570,1d0d682,02/10/2019,06/11/2018,,14,2,139,3049,1,1,3,2
2791,1d0fd0e,07/10/2019,13/02/2019,30000.0,1,3,1,269,1,1,1,1
3685,1d11642,05/09/2019,24/11/2018,15000.0,2,2,6,198,1,1,8,3
195,1d19d24,24/10/2019,20/03/2019,,50,5,6,535,1,1,8,3
120,1d1a806,23/10/2019,16/07/2018,55000.0,7,7,27,132,1,2,1,1
868,1d1a9a2,31/10/2019,14/06/2018,63200.0,17,20,46,1,1,1,1,1
3845,1d1e05a,16/10/2019,08/06/2018,7000.0,2,2,2,67,1,1,2,1
2192,1d2cdc1,28/10/2019,20/12/2018,12500.0,29,6,55,1,1,1,1,1
556,1d3d601,07/10/2019,20/12/2018,20000.0,11,8,19,228,1,1,1,1
1568,1d52ffa,08/10/2019,23/08/2018,10000.0,5,9,33,409,1,1,1,1
2642,1d5ceaa,02/09/2019,23/11/2018,,1,3,39,1,1,1,4,2
2453,1d61941,24/10/2019,14/06/2018,12000.0,32,5,2,32,1,1,2,1
1256,1d647c0,02/10/2019,02/01/2019,18000.0,16,14,69,974,1,1,1,1
1364,1d6f5ea,07/10/2019,06/09/2017,12000.0,16,14,2,691,1,1,2,1
2953,1d70981,02/10/2019,13/12/2017,10000.0,4,4,114,1,1,1,1,1
763,1d71511,21/10/2019,19/08/2017,26100.0,111,6,314,354,1,3,1,1
2813,1d8e107,11/10/2019,05/09/2018,16000.0,45,7,3,1,1,1,3,2
2014,1d92a21,17/10/2019,29/12/2017,,3,1,69,1,1,1,1,1
2602,1d94499,17/10/2019,11/03/2019,45000.0,6,1,7,891,1,1,9,3
3315,1d9a69d,25/09/2019,07/07/2018,,4,4,81,223,1,1,12,1
1393,1da7487,25/09/2019,18/08/2018,13000.0,34,15,1,3244,1,1,1,1
3539,1dab0d8,02/10/2019,20/03/2018,30000.0,20,23,151,1,1,1,24,5
913,1dad33b,08/10/2019,16/01/2019,11500.0,4,4,137,1,1,1,9,3
1335,1db20de,31/10/2019,06/12/2017,80000.0,3,1,1,264,1,1,1,1
4056,1dbe914,28/10/2019,25/01/2019,20000.0,14,2,471,0,1,1,1,1
3490,1dc1b37,12/09/2019,25/05/2018,120000.0,2,2,1,27,1,1,1,1
3258,1dc4dc7,30/10/2019,10/11/2017,11250.0,33,5,11,1247,1,1,4,2
3873,1dcc83f,07/10/2019,17/01/2019,20000.0,1,3,32,41,1,1,16,3
2805,1ddba06,25/09/2019,18/04/2017,7000.0,17,20,40,180,1,1,1,1
1334,1dde185,17/10/2019,26/10/2018,3000.0,15,5,21,157,1,1,5,1
3133,1de13e5,25/10/2019,28/03/2019,8000.0,1,3,1,1188,1,1,1,1
2337,1de5522,03/09/2019,27/09/2018,25000.0,2,2,5,242,1,2,5,1
1659,1df18d3,08/10/2019,22/01/2019,12000.0,4,4,93,1,1,1,5,1
145,1e008b9,09/10/2019,04/09/2018,25000.0,23,25,59,775,1,1,1,1
4173,1e13db6,28/10/2019,31/10/2018,6000.0,8,10,427,0,1,1,4,2
1313,1e14916,02/10/2019,05/05/2017,30000.0,8,10,116,0,1,2,5,1
2752,1e2c083,11/10/2019,19/02/2019,40000.0,2,2,173,0,1,1,2,1
382,1e2d0a5,28/10/2019,16/10/2018,25000.0,15,5,22,380,1,2,1,1
2062,1e2e110,19/09/2019,21/06/2018,30000.0,7,7,5,899,1,2,5,1
1133,1e326c2,15/10/2019,01/09/2018,70000.0,8,10,32,0,1,1,16,3
3184,1e458f6,21/10/2019,12/03/2018,30000.0,1,3,2,32,1,1,2,1
4027,1e593c8,20/09/2019,23/10/2018,60000.0,23,25,370,0,1,1,6,2
2372,1e6fc46,15/10/2019,14/11/2018,60000.0,31,4,222,1,1,1,3,2
1574,1e78d60,07/10/2019,24/01/2019,55000.0,27,19,7,12,1,1,9,3
1654,1e81fb2,30/10/2019,26/09/2017,12000.0,6,1,173,0,1,1,2,1
2043,1e84b08,30/10/2019,19/04/2018,,37,6,24,3036,1,1,1,1
379,1e86680,23/09/2019,17/12/2018,90000.0,117,6,30,1,1,1,2,1
3032,1e87589,30/10/2019,16/11/2018,25500.0,2,2,57,122,1,1,6,2
907,1e8c167,04/09/2019,08/10/2018,35000.0,1,3,156,0,1,1,2,1
3374,1e93fb0,18/09/2019,13/08/2018,10000.0,1,3,2,1,1,1,2,1
3680,1e95aa7,21/10/2019,14/02/2019,30000.0,11,8,7,121,1,1,9,3
2641,1e980e1,03/09/2019,06/11/2018,26500.0,1,3,8,2202,1,1,10,4
400,1e9bf82,28/10/2019,23/08/2018,5000.0,3,1,150,25,1,1,1,1
1016,1ea2de3,21/10/2019,21/02/2019,20000.0,4,4,7,2499,1,1,9,3
2225,1eaa460,25/09/2019,29/05/2015,65000.0,7,7,2,337,1,1,2,1
3086,1ead4ce,21/10/2019,20/08/2017,,3,1,208,0,1,1,1,1
1903,1eb2c8d,28/10/2019,17/09/2018,63405.0,13,13,118,225,1,1,8,3
2548,1eb5202,30/10/2019,12/03/2019,3000.0,21,24,2,34,1,1,2,1
2293,1eb543d,28/10/2019,12/06/2018,5000.0,22,15,2,1,1,1,2,1
3161,1ec3a0e,30/10/2019,28/03/2019,15000.0,11,8,34,2578,1,1,2,1
257,1ed62bf,05/09/2019,16/01/2018,35100.0,1,3,65,723,1,2,1,1
1860,1f00980,25/09/2019,14/11/2018,120000.0,16,14,9,468,1,1,6,2
4013,1f0571c,21/10/2019,06/12/2017,,8,10,654,0,1,1,3,2
1109,1f08281,17/10/2019,21/11/2018,55000.0,1,3,44,173,1,1,18,3
2741,1f0aae8,16/10/2019,13/03/2019,,11,8,451,774,1,1,12,1
1302,1f112a3,10/10/2019,10/01/2018,69000.0,1,3,17,1,1,1,2,1
1930,1f14571,11/10/2019,21/07/2017,,14,2,5,44,1,3,5,1
1651,1f1d7b1,28/10/2019,09/01/2017,,43,1,22,1,1,2,1,1
1104,1f20747,25/09/2019,30/10/2018,12000.0,12,1,31,1419,1,1,2,1
3883,1f20e9f,28/10/2019,31/08/2018,,13,13,69,446,1,1,1,1
4088,1f29310,05/09/2019,20/11/2018,10000.0,6,1,83,613,1,1,10,4
2525,1f29a56,23/09/2019,11/01/2018,16000.0,24,16,300,3242,1,1,1,1
2005,1f3b240,31/10/2019,27/04/2019,30000.0,20,23,21,48,1,1,5,1
2306,1f42e71,31/10/2019,08/03/2019,1500.0,9,11,55,369,1,1,1,1
920,1f5202f,07/10/2019,16/04/2018,7000.0,1,3,1,253,1,1,1,1
2440,1f5b1f6,07/10/2019,18/01/2019,20000.0,2,2,355,1,1,4,4,2
1826,1f746ad,07/10/2019,04/10/2017,,5,9,25,3114,1,1,1,1
899,1f85e52,28/10/2019,02/10/2018,5000.0,32,5,1,200,1,1,1,1
3633,1f9017d,31/10/2019,16/11/2017,20000.0,3,1,76,236,1,1,3,2
1437,1f99ac9,28/10/2019,16/04/2019,,1,3,1,1,1,1,1,1
1949,1fa5d21,21/10/2019,24/08/2018,40000.0,13,13,25,743,1,1,1,1
4156,1fa74a4,28/10/2019,15/12/2018,10000.0,15,5,1,116,1,1,1,1
412,1fbb344,01/10/2019,11/01/2019,23000.0,2,2,5,160,1,2,5,1
3606,1fbbecb,07/10/2019,08/02/2019,20000.0,61,5,240,0,1,1,6,2
3592,1fc407e,16/09/2019,21/08/2018,,2,2,3,26,1,1,3,2
3462,1fc5148,17/10/2019,19/12/2017,,1,3,69,2014,1,1,1,1
538,1fc856c,23/09/2019,31/10/2018,21000.0,13,13,4,747,1,1,7,4
1738,1fd146b,03/09/2019,22/11/2018,,27,19,192,0,1,1,9,3
3029,1fd5d3a,31/10/2019,28/02/2019,10000.0,47,6,20,497,1,1,14,3
69,1fde962,30/09/2019,07/12/2018,10000.0,7,7,42,1876,1,1,15,3
1388,1ff22cc,15/10/2019,20/10/2017,30000.0,8,10,213,0,1,1,4,2
3344,1ff7fc4,18/09/2019,10/10/2018,500000.0,2,2,94,0,1,1,3,2
3417,200130a,31/10/2019,03/04/2019,30000.0,2,2,84,270,1,1,8,3
197,2005049,02/10/2019,08/02/2019,10000.0,3,1,90,1,1,1,6,2
2861,200a50a,23/10/2019,06/09/2017,30000.0,1,3,28,1175,1,1,1,1
646,2017b50,25/09/2019,26/02/2018,40000.0,3,1,1,147,1,1,1,1
346,201deba,31/10/2019,18/04/2018,9400.0,1,3,4,0,1,1,7,4
1762,201f842,28/10/2019,07/11/2018,15000.0,2,2,34,1204,1,1,2,1
2744,2020a39,28/10/2019,28/01/2019,35000.0,1,3,274,0,1,1,1,1
1894,2021e4e,16/10/2019,05/01/2017,,8,10,5,29,1,2,5,1
3866,2027909,30/10/2019,08/12/2017,20000.0,3,1,102,1,1,1,2,1
221,2029379,08/10/2019,23/01/2019,50000.0,11,8,83,1937,1,1,10,4
3111,202cf35,24/10/2019,13/07/2017,,19,17,9,152,1,1,6,2
1161,202d5d6,31/10/2019,26/01/2019,10000.0,2,2,332,0,1,1,3,2
469,203224d,31/10/2019,12/04/2017,16000.0,2,2,97,745,1,3,1,1
2101,20341d4,10/09/2019,20/12/2018,10000.0,22,15,400,0,1,1,3,2
1349,20385b2,05/09/2019,10/02/2018,13000.0,8,10,456,0,1,1,3,2
3424,203d5c0,02/10/2019,18/04/2017,9000.0,9,11,1,103,1,1,1,1
3477,203e08d,07/10/2019,25/01/2018,14000.0,15,5,10,137,1,1,11,3
2990,204089c,28/10/2019,29/04/2019,38000.0,28,8,54,1360,1,1,2,1
689,20425b5,05/09/2019,01/11/2018,51000.0,5,9,351,0,1,2,5,1
1501,204625b,24/10/2019,24/04/2018,10000.0,12,1,148,155,1,1,3,2
3643,204b9a7,06/09/2019,13/10/2017,8500.0,3,1,120,12,1,1,23,3
1584,204bc42,16/10/2019,02/03/2019,11000.0,59,6,1,20,1,1,1,1
38,205dcfe,18/09/2019,19/12/2017,,6,1,60,880,1,2,5,1
3683,206497f,31/10/2019,06/12/2018,10000.0,21,24,203,1,1,1,3,2
3423,20670a4,16/10/2019,25/01/2019,30000.0,2,2,49,1194,1,1,19,4
33,2074943,25/10/2019,27/03/2018,10000.0,4,4,214,0,1,3,3,2
1621,208df63,28/10/2019,01/02/2019,15160.0,6,1,4,60,1,1,7,4
810,208f349,21/10/2019,27/12/2017,73990.0,4,4,8,201,1,1,10,4
3768,209862a,21/10/2019,01/03/2018,,3,1,1,741,1,1,1,1
535,209dd9c,23/09/2019,06/07/2018,8000.0,4,4,98,149,1,1,9,3
319,20a0da5,31/10/2019,06/11/2018,18000.0,12,1,453,0,1,1,1,1
1201,20c1a0a,10/10/2019,14/03/2018,40000.0,158,16,4,0,1,1,7,4
1848,20d050c,16/10/2019,23/10/2017,30000.0,36,22,6,21,1,1,8,3
1289,20d095f,02/10/2019,03/05/2018,7100.0,3,1,7,2661,1,1,9,3
462,20dc019,07/10/2019,02/08/2018,40000.0,12,1,5,1882,1,2,5,1
1788,20de287,28/10/2019,25/08/2018,5000.0,30,8,329,1,1,1,15,3
3874,20e2cb4,28/10/2019,11/02/2019,9200.0,4,4,335,0,1,4,6,2
1084,20e3d4e,23/10/2019,05/03/2018,,1,3,10,807,1,1,11,3
3316,2106c2a,05/09/2019,22/11/2018,40000.0,70,22,9,30,1,1,6,2
4020,2108325,23/10/2019,07/08/2018,22500.0,10,12,88,3086,1,1,1,1
1268,210a005,07/10/2019,21/02/2019,10000.0,4,4,62,2960,1,1,1,1
3324,210a2ed,28/10/2019,22/03/2019,25000.0,2,2,1,16,1,1,1,1
3467,210ef15,20/09/2019,20/12/2017,100000.0,7,7,1,1211,1,1,1,1
470,2115865,16/10/2019,28/11/2017,92000.0,16,14,1,89,1,1,1,1
3474,2120949,18/10/2019,21/03/2019,25000.0,2,2,66,376,1,1,20,4
2394,21273f3,28/10/2019,11/04/2019,7000.0,9,11,60,0,1,2,5,1
2324,213c142,12/09/2019,06/12/2018,,1,3,293,0,1,1,6,2
2020,213d5ab,18/09/2019,26/02/2018,130000.0,2,2,1,68,1,1,1,1
1928,2143213,07/10/2019,05/07/2018,14000.0,19,17,91,13,1,1,6,2
3309,21481f2,23/09/2019,15/06/2018,10000.0,41,5,15,108,1,1,4,2
3862,21554b6,30/10/2019,08/11/2018,25000.0,1,3,312,0,1,1,4,2
2807,2160cd9,25/10/2019,11/02/2019,2000.0,2,2,24,131,1,1,1,1
494,21675c3,08/10/2019,21/03/2018,10000.0,44,19,37,1260,1,1,2,1
9,216cb72,21/10/2019,09/09/2018,40000.0,3,1,596,0,1,3,1,1
2721,216db03,26/09/2019,22/02/2019,25000.0,32,5,9,30,1,1,6,2
3478,2174cb7,20/09/2019,12/07/2018,,2,2,166,1,1,1,1,1
3503,218f5ac,28/10/2019,12/12/2017,15000.0,4,4,54,638,1,1,2,1
2765,219217c,25/09/2019,04/07/2017,31000.0,7,7,36,171,1,1,3,2
3763,219ee62,17/10/2019,03/07/2017,90000.0,11,8,201,276,1,3,2,1
2843,21b025f,28/10/2019,03/04/2019,10000.0,18,21,626,0,1,3,5,1
2950,21b227e,08/10/2019,25/02/2019,24000.0,5,9,219,0,1,1,1,1
3215,21b88a0,07/10/2019,26/04/2018,30000.0,16,14,83,679,1,1,10,4
4011,21be0e1,06/09/2019,28/11/2018,20000.0,28,8,223,1,1,4,19,4
1889,21c1f89,20/09/2019,18/01/2018,100000.0,11,8,1,963,1,1,1,1
2800,21c218b,08/10/2019,09/11/2018,70000.0,22,15,47,803,1,1,3,2
2652,21d08c1,07/10/2019,14/07/2017,,31,4,10,561,1,1,11,3
540,21d1e78,30/09/2019,26/09/2018,20000.0,4,4,107,2114,1,1,6,2
3564,21d2495,31/10/2019,27/07/2018,25100.0,6,1,232,1555,1,2,5,1
431,21d35ac,07/10/2019,19/01/2018,50000.0,1,3,1,24,1,1,1,1
3319,21e50a6,20/09/2019,21/12/2017,40000.0,7,7,33,183,1,1,1,1
1418,21ec9f4,30/10/2019,24/04/2019,35000.0,9,11,29,1088,1,1,5,1
602,21eec7b,05/09/2019,28/03/2018,15000.0,18,21,249,0,1,1,1,1
3567,21f59a2,07/10/2019,25/02/2019,9000.0,1,3,9,1297,1,1,6,2
4068,21f9149,07/10/2019,26/03/2018,30000.0,1,3,4,4,1,1,7,4
2691,22015aa,28/10/2019,05/04/2019,30000.0,7,7,1,29,1,1,1,1
1522,2207d01,28/10/2019,20/12/2018,,19,17,21,10,2,5,5,1
782,220f673,10/09/2019,31/03/2018,60000.0,22,15,327,0,1,1,4,2
4065,221d771,23/10/2019,11/12/2017,50000.0,1,3,28,796,1,1,1,1
1085,2226eb8,24/10/2019,21/10/2017,,1,3,10,80,1,1,11,3
1368,2236ba8,28/10/2019,13/04/2018,15000.0,17,20,6,10,1,1,8,3
394,225c451,31/10/2019,03/05/2018,6000.0,39,17,643,0,1,3,5,1
2319,2263fbb,07/10/2019,29/10/2018,80000.0,39,17,27,1,1,2,1,1
1648,22673d4,21/10/2019,17/10/2018,30000.0,2,2,694,1,1,2,5,1
2833,2275a03,25/09/2019,18/07/2018,20000.0,86,13,42,1,1,1,15,3
296,227da93,16/10/2019,23/03/2019,20000.0,26,18,7,1484,1,1,9,3
585,22832de,28/10/2019,27/03/2019,15000.0,7,7,87,447,1,1,1,1
180,228789d,28/10/2019,12/03/2019,25000.0,16,14,186,101,1,1,3,2
4026,2288e4c,20/09/2019,27/01/2018,10000.0,49,8,258,407,1,1,10,4
2694,229d976,07/10/2019,27/11/2017,,7,7,127,1448,1,1,4,2
3946,22a5a91,20/09/2019,01/08/2018,30000.0,4,4,74,2959,1,1,2,1
3244,22ab4c1,10/09/2019,08/11/2018,7000.0,1,3,709,0,1,3,18,3
2940,22b8ecb,08/10/2019,30/01/2019,15000.0,16,14,144,970,1,1,1,1
3812,22bddd0,07/10/2019,28/01/2019,15000.0,4,4,7,1698,1,1,9,3
449,22c38cd,08/10/2019,01/02/2019,30000.0,54,14,33,3,1,1,1,1
3661,22c7e22,02/09/2019,07/11/2018,18000.0,5,9,136,2032,1,1,10,4
2264,22cb88c,28/10/2019,31/10/2018,16000.0,27,19,200,0,1,1,3,2
4024,22eb259,04/09/2019,26/06/2018,50000.0,6,1,20,324,1,1,14,3
1577,22efbde,17/10/2019,14/10/2018,1600.0,18,21,577,0,1,1,21,5
2626,22f3ea5,03/10/2019,29/05/2017,,149,4,7,368,2,5,9,3
2308,2301fdc,25/09/2019,22/10/2018,50000.0,7,7,14,566,1,1,3,2
1327,230934e,25/09/2019,18/12/2018,15000.0,30,8,65,1,1,2,1,1
2022,230d2bc,20/09/2019,31/07/2018,5000.0,88,4,43,1,1,1,2,1
129,2326755,23/09/2019,05/09/2018,,5,9,157,1076,1,1,6,2
3266,232f0a3,02/09/2019,16/11/2018,2000.0,59,6,3,520,1,1,3,2
2129,232f6d2,31/10/2019,25/01/2019,5000.0,41,5,104,1252,1,1,9,3
1718,2339cd1,25/09/2019,04/10/2018,40000.0,1,3,416,1,1,3,1,1
1298,233a481,24/10/2019,04/10/2016,,4,4,74,1,1,1,2,1
2513,233f2c1,02/09/2019,24/08/2018,30000.0,36,22,147,0,1,1,2,1
1286,234e4a6,28/10/2019,26/06/2018,62300.0,1,3,2,434,1,1,2,1
1821,235069d,16/10/2019,29/05/2018,25000.0,161,6,108,1017,1,1,1,1
3314,2357744,31/10/2019,05/04/2018,,120,19,34,163,1,1,2,1
248,23609ae,25/09/2019,03/03/2018,,41,5,4,406,1,1,7,4
3532,2364dfb,11/09/2019,06/07/2018,11000.0,47,6,1,222,1,1,1,1
3775,236f06c,31/10/2019,21/08/2018,20000.0,7,7,91,141,1,1,6,2
1236,237575a,18/09/2019,14/09/2018,15000.0,90,22,40,945,1,1,1,1
1205,237e13f,15/10/2019,20/03/2017,,2,2,17,23,1,1,2,1
1428,2381866,26/09/2019,12/04/2018,35000.0,23,25,3,876,1,1,3,2
1055,238dc8f,25/09/2019,14/12/2017,,4,4,196,1425,1,3,9,3
705,239497d,24/10/2019,28/01/2019,12000.0,19,17,41,893,1,1,17,5
3712,23b18a3,08/10/2019,20/04/2018,,31,4,368,0,1,1,1,1
1185,23b452c,21/10/2019,08/01/2018,,16,14,22,1375,1,2,1,1
1587,23cdf56,28/10/2019,11/01/2019,40000.0,53,7,202,529,1,2,1,1
2841,23d4fa9,06/09/2019,13/11/2018,50000.0,2,2,395,0,1,1,6,2
1533,23d5ec4,29/10/2019,28/02/2019,50000.0,50,5,243,1,1,4,9,3
3005,23de522,17/10/2019,25/04/2018,40000.0,8,10,2,161,1,1,2,1
1858,23f5c01,30/09/2019,28/06/2018,40000.0,7,7,213,2789,1,1,4,2
4069,23fdbdb,07/10/2019,20/11/2018,20000.0,2,2,162,1165,1,4,3,2
3561,23ff095,03/10/2019,06/07/2016,,20,23,612,0,1,3,8,3
1900,24069b8,07/10/2019,21/01/2019,20000.0,2,2,6,593,1,1,8,3
932,240e2d3,07/10/2019,16/01/2018,,37,6,171,1,1,1,2,1
4004,2417231,08/10/2019,07/01/2019,8800.0,5,9,484,1,1,2,5,1
1291,241e5b6,07/10/2019,14/12/2018,20000.0,2,2,238,1,1,1,25,5
2360,241f1fe,21/10/2019,07/11/2018,30000.0,6,1,301,0,1,2,5,1
278,24228de,21/10/2019,08/03/2019,20000.0,4,4,89,1,1,1,1,1
3698,243dc8d,19/09/2019,04/10/2018,50000.0,2,2,1,741,1,1,1,1
818,24402ae,28/10/2019,08/03/2019,15000.0,29,6,428,0,1,1,6,2
1168,2450979,28/10/2019,16/04/2019,6000.0,2,2,30,1029,1,1,2,1
456,2459b66,29/10/2019,08/02/2019,16000.0,2,2,1,1522,1,1,1,1
1635,245c0bc,28/10/2019,03/04/2019,50000.0,14,2,259,0,1,4,5,1
2714,24621cf,31/10/2019,28/05/2018,30000.0,31,4,10,653,1,1,11,3
3170,246294d,05/09/2019,31/10/2018,,12,1,178,0,1,1,14,3
1457,246a324,23/09/2019,29/10/2018,20000.0,2,2,1,33,1,1,1,1
434,246bc44,21/10/2019,24/11/2017,,3,1,39,1,1,1,4,2
1604,247a84c,01/10/2019,26/12/2017,80000.0,84,8,273,1,1,1,11,3
886,247a858,19/09/2019,08/08/2018,,1,3,451,1,1,1,12,1
1182,247b386,25/09/2019,22/11/2018,15000.0,7,7,28,166,1,1,1,1
1795,247df56,23/09/2019,21/02/2018,35000.0,27,19,3,214,1,1,3,2
3246,249495e,28/10/2019,24/04/2019,7000.0,4,4,666,0,1,1,1,1
2165,2495673,09/10/2019,31/01/2019,20000.0,28,8,141,25,1,1,17,5
353,249f736,08/10/2019,27/12/2018,40000.0,41,5,95,2488,1,1,1,1
343,24a240d,28/10/2019,19/10/2018,20000.0,16,14,1,695,1,1,1,1
46,24b38d1,25/09/2019,04/08/2016,,13,13,55,848,1,1,1,1
380,24b4d00,10/10/2019,15/08/2018,12000.0,4,4,170,1,1,4,1,1
340,24c732f,31/10/2019,04/12/2018,22000.0,46,16,72,314,1,1,6,2
547,24c74f5,16/10/2019,17/05/2016,,49,8,173,0,1,1,2,1
57,24cbf55,18/09/2019,30/11/2018,40000.0,5,9,13,1534,1,1,1,1
2531,24d4ddd,21/10/2019,19/02/2019,13000.0,44,19,1,3115,1,1,1,1
3967,24d68ad,23/10/2019,14/11/2018,25000.0,3,1,14,1,1,1,3,2
3995,24e0e81,28/10/2019,06/10/2018,40000.0,27,19,170,1,1,4,1,1
3880,24e1cd7,25/09/2019,16/11/2018,55000.01,149,4,97,3120,1,2,1,1
3249,24e3e72,26/09/2019,24/05/2018,20000.0,30,8,48,1,1,1,2,1
1082,24e5e5d,24/10/2019,01/03/2018,10000.0,11,8,106,230,1,1,1,1
3046,24ebba9,16/10/2019,25/06/2018,8000.0,87,6,44,1,1,1,18,3
1160,24efb01,25/10/2019,12/02/2019,40000.0,15,5,12,399,1,1,1,1
558,24f1ce5,16/10/2019,01/02/2017,,4,4,1,114,1,1,1,1
2655,24f48e4,07/10/2019,06/05/2016,5000.0,30,8,58,1,1,1,1,1
2350,24fbeea,16/10/2019,13/12/2018,10000.0,5,9,9,1042,1,1,6,2
3706,2508ad2,17/10/2019,15/03/2019,25000.0,8,10,276,304,1,1,20,4
2141,2509897,30/10/2019,25/04/2019,5000.0,15,5,10,137,1,1,11,3
3851,2511564,20/09/2019,13/08/2018,18000.0,4,4,26,1,1,1,5,1
3889,251582a,25/10/2019,26/01/2019,30000.0,11,8,141,1,1,1,17,5
304,251b346,07/10/2019,19/02/2017,,1,3,101,340,1,1,1,1
3825,252b352,30/10/2019,02/02/2017,,8,10,37,110,1,1,2,1
3040,252bfd4,28/10/2019,09/04/2019,,1,3,4,62,1,1,7,4
150,253b542,28/10/2019,12/04/2019,15000.0,17,20,2,124,1,1,2,1
3243,253c5d7,08/10/2019,23/11/2018,10000.0,58,26,41,106,1,1,17,5
3753,25403db,21/10/2019,21/12/2018,90000.0,7,7,24,1357,1,1,1,1
1390,25505db,16/10/2019,19/08/2017,25000.0,27,19,208,0,1,1,1,1
2866,2555b96,23/09/2019,18/12/2018,30000.0,1,3,8,407,1,1,10,4
1230,255c9b5,08/10/2019,19/08/2016,,7,7,7,891,1,1,9,3
2233,25654b4,15/10/2019,31/01/2019,60000.0,52,1,235,0,1,1,10,4
1708,256a0fb,07/10/2019,11/10/2018,9000.0,4,4,303,0,1,1,1,1
2244,25730f1,07/10/2019,01/08/2018,13000.0,2,2,4,2,1,1,7,4
3886,257c6b3,16/10/2019,21/07/2018,51000.0,54,14,27,1,1,2,1,1
305,2581f7c,24/10/2019,28/04/2017,,35,16,310,0,1,3,1,1
492,2583110,05/09/2019,16/11/2018,25000.0,48,4,85,1874,1,1,1,1
628,258750f,17/10/2019,27/02/2019,42400.0,7,7,289,1935,1,1,8,3
1619,2595844,11/10/2019,18/05/2018,,4,4,69,1,1,1,1,1
78,2596596,30/09/2019,05/02/2018,,11,8,156,0,1,1,2,1
2121,25986fb,09/10/2019,24/10/2018,37000.0,18,21,183,0,1,1,10,4
2067,259ba1c,28/10/2019,13/11/2018,15000.0,93,6,52,1361,1,1,4,2
3936,25a4453,09/10/2019,04/08/2018,25000.0,1,3,170,1,1,4,1,1
777,25abbd2,28/10/2019,29/08/2018,4000.0,9,11,60,1313,1,2,5,1
2702,25ac4ea,09/10/2019,22/01/2019,14000.0,20,23,93,1244,1,1,5,1
1585,25b8e75,25/10/2019,11/12/2018,13000.0,1,3,23,59,1,1,13,3
3290,25c4781,26/09/2019,17/02/2019,200000.0,6,1,4,1951,1,1,7,4
1153,25d0903,25/09/2019,01/03/2018,65000.0,4,4,14,464,1,1,3,2
654,25d59b4,08/10/2019,20/06/2018,5000.0,5,9,364,0,1,1,1,1
902,25dcd6b,23/10/2019,03/01/2019,20000.0,1,3,195,0,1,1,4,2
3068,25e6273,13/09/2019,29/01/2018,,15,5,34,163,1,1,2,1
791,25ee183,16/10/2019,16/03/2019,20000.0,29,6,10,1,1,1,11,3
703,25f021a,18/09/2019,21/04/2017,25000.0,5,9,3,37,1,1,3,2
406,260b870,07/10/2019,27/03/2018,45000.0,45,7,1,6,1,1,1,1
3107,2612f0e,02/09/2019,10/08/2017,45000.0,4,4,39,1,1,1,4,2
3824,2613b0a,08/10/2019,24/01/2019,80000.0,25,18,818,0,1,3,11,3
3563,2616c0a,25/09/2019,23/06/2017,,13,13,5,1171,1,2,5,1
1881,2626adc,28/10/2019,28/02/2018,10000.0,9,11,114,1,1,1,1,1
1653,263b2dc,16/10/2019,23/04/2018,1500.0,27,19,100,1512,1,1,1,1
1784,26422bc,25/09/2019,21/07/2017,20000.0,25,18,9,641,1,1,6,2
3603,264bd62,28/10/2019,12/04/2019,10000.0,4,4,41,2178,1,1,17,5
2035,26605c2,07/10/2019,30/10/2017,6000.0,17,20,43,1,1,1,2,1
3547,2662d95,21/10/2019,29/03/2019,15000.0,26,18,413,0,1,1,2,1
1923,26637a3,30/09/2019,10/11/2016,,16,14,1,3039,1,1,1,1
36,2667e5f,28/10/2019,06/02/2019,5000.0,6,1,58,362,1,1,1,1
275,266a4b8,20/09/2019,18/04/2018,20700.0,89,5,5,326,1,3,5,1
1906,266e489,16/10/2019,13/09/2017,30000.0,3,1,1,3161,1,1,1,1
1516,267c7f6,08/10/2019,08/01/2019,10000.0,23,25,1,20,1,1,1,1
3667,268bdb4,21/10/2019,07/02/2019,25000.0,47,6,6,675,1,1,8,3
631,2691042,07/10/2019,22/04/2018,35000.0,18,21,4,62,1,1,7,4
2662,269c4f7,17/10/2019,15/03/2019,36000.0,32,5,157,1,1,1,6,2
3809,269e8ec,23/10/2019,25/04/2017,,39,17,246,1,1,1,1,1
539,26a23cc,16/10/2019,28/09/2018,26400.0,3,1,39,1,1,1,4,2
1120,26aea1d,28/10/2019,28/12/2018,6000.0,66,6,7,122,1,1,9,3
2405,26bc7e1,09/09/2019,23/10/2018,,8,10,2,76,1,1,2,1
4053,26c4de2,08/10/2019,07/04/2017,57000.0,17,20,3,61,1,1,3,2
1614,26c58b6,07/10/2019,31/01/2019,5000.0,35,16,4,572,1,1,7,4
3806,26cd1ea,20/09/2019,21/07/2017,20000.0,32,5,3,164,1,1,3,2
4002,26cd9a5,07/10/2019,18/03/2017,10000.0,17,20,40,1,1,1,1,1
3836,26db1fa,26/09/2019,05/09/2017,,11,8,117,237,1,1,1,1
2148,26e2639,01/10/2019,07/11/2018,20700.0,1,3,3,1,1,1,3,2
